News Title,Subject,Verb,Object
Beuran Hendricks,"['Beuran', None]",,
"Today, these ministers took charge of their office","['Today', None]","['took', []]","['charge', None]"
"BJP, BJP in front of backward and backward caste","['BJP', None]",,
"Terrorism, extremism, a cure of hijackers, Ajit Doval","['Terrorism', None]",,
"Mayawati said- Separate from SP-BSP, Akhilesh says- It is also welcome","['Mayawati', None]","['said', []]","['welcome', None]"
Two suspect arrested Ratnuchak Army Station several important revelations in the interrogation,"['suspect', None]","['arrested', []]","['Ratnuchak', None]"
"Pakistan ceasefire violation continue second day in poonch, Jammu and kashmir","['Pakistan', None]","['continue', []]","['day', None]"
katrina kaif is Repenting for deepika padukone movie chhapaak,"['katrina', None]","['is', []]","['padukone', None]"
Narendra Modi swearing-in ceremony: Several routes will be closed today around Rashtrapati Bhavan,"['Narendra', None]","['be', []]","['today', None]"
"40000 personnel of Amarnath yatra will be given security, devotees will be given barcode slip","['personnel', None]","['be', []]","['security', None]"
salman khan arrived in a wedding ceremony shirtless with katrina kaif pictures gone viral,"['salman', None]","['arrived', []]","['wedding', None]"
Braja car into falls in Ganganahar and three friends death in Meerut,"['car', None]","['Braja', []]","['car', None]"
नामांतरण पर कैंट बोर्ड बनाएगा नई नीति,"['पर', None]","['नामांतरण', []]",
Maid's account increased from 700 to 32 million in 32 months,"['Maid', None]","['increased', []]","['months', None]"
16 people in jail for fodder scam,"['people', None]",,
"रिंग रोड किनारे अतिक्रमण पर चला वीडीए का हथौड़ा, कई भवन सील","['रिंग', None]",,
बीएचयू अस्पताल में पटरी पर लौटी सफाई व्यवस्था,"['अस्पताल', None]","['बीएचयू', []]",
बाबा के आभासी दर्शन-पूजन पर फैसला चार जून को,"['बाबा', None]",,
जाम की समस्या को देखते हुए बलुआ पुल से शुरू हुई ट्रकों की आवाजाही,"['की', None]","['जाम', []]",
परीक्षा नियंत्रक की मिलीभगत से शिक्षक भर्ती परीक्षा का पेपर हुआ था आउट,"['नियंत्रक', None]","['परीक्षा', []]",
पीएम के शपथ ग्रहण समारोह में 300 काशीवासी आमंत्रित,"['पीएम', None]",,
"Sanaullah is declared a foreigner for 30 years, sent to detention camp","['Sanaullah', None]","['is', []]","['foreigner', None]"
jennifer winget and 5 more actress are divorcee hit now on tv,"['jennifer', None]","['are', ['divorcee']]","['tv', None]"
पीएमओ ने खींचा विकसित काशी का खाका,"['ने', None]","['पीएमओ', []]",
अभियान चलाकर कोचिंग संस्थानों की होगी जांच,"['चलाकर', None]","['अभियान', []]",
50 हजार इनामी चढ़ा जीआरपी के हत्थे,"['हजार', None]",,
गाजीपुर के एसपी सिटी की जमीन महिला ने कराई अपने नाम,"['के', None]","['गाजीपुर', []]",
बैंकॉक से वाराणसी पहुंचे यात्री का समान गायब,"['से', None]","['बैंकॉक', []]",
"एनजीटी का चलेगा हथौड़ा, चौराहों पर लगाएंगे फौव्वारे","['एनजीटी', None]",,
एक घंटा हवा में अटकी रही यात्रियों की जान,"['घंटा', None]","['एक', []]",
मायके में रह रही बहन की हत्या करने वाले को उम्र कैद,"['में', None]","['मायके', []]",
पुलिस की सुरक्षा को धता बताते हुए दूसरे दिन भी जगदीश कॉलोनी से बाइक सवारों ने छात्रा से मोबाइल छीना,"['पुलिस', None]",,
"...जिंदगी बेशक जंग का मैदान है, हर पल लड़ना पड़ता है खुद के वजूद के लिए","['बेशक', None]",,
"नगर निगम, पब्लिक हेल्
थ और जनता के अमृत पर सरकारी फरमान","['नगर', None]",,
Karambir Singh permission to take charge as Naval Chief,"['Singh', None]","['Karambir', []]","['Singh', None]"
एनएच 74 मामले में आरोपी हरजिंदर गिरफ्तार कर कोर्ट में करें पेश,"['मामले', None]","['एनएच', []]","['मामले', None]"
आरक्षण मामले में प्रो. वीरेंद्र की कोर्ट में पेश,"['आरक्षण', None]",,
कट्टे में लाश की सूचना पर दौड़ी पुलिस,"['में', None]","['कट्टे', []]",
आज आएगा हाईस्कूल व इंटर का रिजल्ट,"['आएगा', None]","['आज', []]",
"कुमाऊं में एक दिन 77 स्
थानों पर धधके जंगल","['कुमाऊं', None]",,
बैठक से नदारद सितारगंज के आरएम का वेतन रोका,"['से', None]","['बैठक', []]",
माफिया ने ट्रैक्टर-ट्रॉली को ग्रामीण के मकान में घुसाया,"['माफिया', None]",,
"Supreme court issues notice to Karti Chidambaram, focus on parliamentary constituency","['Supreme', None]","['notice', []]","['Karti', None]"
अवैध खनन रोकने गए रेंजर से अभद्रता,"['खनन', None]","['अवैध', []]",
राज्य में 59.8 प्रतिशत बच्चों और 46.5 प्रतिशत महिलाओं में खून की कमी,"['में', None]","['राज्य', []]",
"हाई वोल्टेज तारों के संपर्क में आने से टिप्पर में आया करंट, टिप्पर चालक की मौत","['वोल्टेज', None]","['हाई', []]",
एसडीओ के घर से 35 हजार व अन्य सामान चोरी,"['एसडीओ', None]",,
मामूली नोकझोंक में दो गुटों में बीच मारपीट,"['नोकझोंक', None]","['मामूली', []]",
हरियाणा के स्पिनर्स के आगे नहीं टिक पाई तेलंगाना टीम,"['के', None]","['हरियाणा', []]",
पांच कैदियों ने बख्शीखाने में एक कैदी के सिर पर लोहे के कड़े से किया हमला,"['कैदियों', None]","['पांच', []]",
"सड़क पार करते हुए व्यक्ति को कार चालक ने मारी टक्कर, मौत","['सड़क', None]",,
बेटियों की शादी के लिए रखे सोने-चांदी के गहनों पर चोरों ने किया हाथ साफ,"['की', None]","['बेटियों', []]",
BSP leader Haji Ahsan murder case and IG has formed 6 teams for disclosures,"['BSP', None]","['has', []]","['teams', None]"
ggggggggggg,"['ggggggggggg', None]",,
"कोचिंग सेंटर संचालक ने 8 लोगों को फारवर्ड की आंसर की, भेजा जेल","['कोचिंग', None]",,
मेडिकल कॉलेज के तीन छात्रों का शोध प्रस्ताव मंजूर,"['कॉलेज', None]","['मेडिकल', []]",
जुमा अलविदा पर कल कई मार्गों पर प्रतिबंधित रहेंगे वाहन,"['अलविदा', None]","['जुमा', []]",
स्पार्कलिंग फेस आफ द ईयर के आडिशन आज,"['फेस', None]","['स्पार्कलिंग', []]",
Supreme Court to review powers to arrest Theft of GST,"['Supreme', None]","['review', []]","['powers', None]"
"Divyang soldier impaired injection, hospital disorder","['soldier', None]","['Divyang', []]","['soldier', None]"
न्यायिक हिरासत के दौरान प्रो. जुबैरी निलंबित,"['न्यायिक', None]",,
भाभी से संबंधों के चलते पत्नी को तलाक देने पर अमादा युवक,"['से', None]","['भाभी', []]",
"60 की उम्र में प्यार परवान, शादीशुदा हैं बच्चे, क्यों करू अपनी खुशियां कुर्बान","['उम्र', None]",,
चेकिंग अभियान में 25 डग्गेमार वाहनों को सीज किया,"['चेकिंग', None]",,
किशोरी से दुष्कर्म के मामले में दो को बीस-बीस साल की सजा,"['से', None]","['किशोरी', []]",
Misdeed Married to the victim,"['victim', None]","['Misdeed', []]","['Married', None]"
road closed,"['road', None]","['closed', []]",
Controversy arose between advocate and taxi driver,"['Controversy', None]","['arose', []]","['advocate', None]"
Mother and son murder in Ramnagar,"['Mother', None]",,
Checking in district liquor shops from today,"['district', None]","['Checking', []]","['district', None]"
"fire in hostel, 50 girls rescued","['fire', None]","['rescued', []]",
hearing completed of anjum chopra flat case,"['hearing', None]","['completed', []]","['anjum', None]"
Aqwa Line: 19 thousand passenger treval on 27 may,"['Aqwa', None]",,
Stone mining laborers taking water,"['Stone', None]","['taking', []]","['water', None]"
ED will occupy 64.93 crores of AJL land in Panchkula,"['ED', None]","['occupy', []]","['crores', None]"
"The 'Raj' remained a rage for 12 days ... which was the beginnings, made today","['Raj', None]","['remained', []]","['rage', None]"
25 arrested in operetion robbers,"['operetion', None]","['arrested', []]","['operetion', None]"
"मवाना कस्बे में अंधाधुंध फायरिंग, लोगों में दहशत","['मवाना', None]",,
गोली चलाने के मामले में दंपती पर मुकदमा,"['चलाने', None]","['गोली', []]",
घोषणापत्र देने के बाद ही संचालित होगा सट्टा,"['देने', None]","['घोषणापत्र', []]",
"नानू पुल के पास हथियारबंद बदमाशों ने स्कूटी, नकदी लूटी","['नानू', None]",,
फायर ब्रिगेड कर्मियों को कोचिंग सेंटरों में नहीं मिले मानक पूरे,"['ब्रिगेड', None]","['फायर', []]",
रिश्तेदारी में आया युवक लापता,"['रिश्तेदारी', None]",,
पावरलूम फैक्टरी में आग,"['पावरलूम', None]",,
छह ट्रांसफार्मरों के कोने काटकर तेल चोरी,"['ट्रांसफार्मरों', None]","['छह', []]",
"तन, धन, यौवन सब नश्वर","['तन', None]",,
पीएचसी में बाल रोग विशेषज्ञ नहीं,"['में', None]","['पीएचसी', []]",
रोजगार देने के नाम धोखाधड़ी करने का आरोप,"['देने', None]","['रोजगार', []]",
विकास की राह पर छांव को तरसेंगे राहगीर,"['की', None]","['विकास', []]",
नगर पालिका बोर्ड बैठक में आय-व्यय का अनुमोदन,"['पालिका', None]","['नगर', []]",
संविदाकर्मियों की हड़ताल जारी,"['संविदाकर्मियों', None]",,
yamuna and eastern periferal joint with interchange,"['yamuna', None]",,
Burning fire from the sky Orange alert released for three days,"['Burning', None]","['released', []]","['days', None]"
278 villages failed in 'first exam',"['villages', None]","['failed', []]","['exam', None]"
fraud on the name of flat,"['fraud', None]",,
13 सालों से नहीं बदले समन्वयक,"['सालों', None]",,
कांवड़ मार्ग पर गंगनहर किनारे लगेंगे क्रॉस बैरियर,"['मार्ग', None]","['कांवड़', []]",
"गंगनहर में मिली ब्रेजा कार, तीनों कारोबारियों की मौत","['गंगनहर', None]",,
अवैध कट ने ली बाइक सवार की जान,"['कट', None]","['अवैध', []]",
fir on red bus officer,"['bus', None]","['fir', []]","['bus', None]"
